origin_id,cluster_id,title,categories,category_count,first_category,first_published,signal_count,is_relevant,is_baltic,is_security,noise_class
45,5228,🔥 Почему Лукашенко для белорусов выгодный Президент?!,"{russian_state,ru_state}",2,ru_state,2026-03-20 15:05:06+00,2,True,True,False,
48,5208,AFP: НАТО выводит войска из Ирака на фоне эскалации вокруг Ирана,"{baltic_media,russian_state}",2,russian_state,2026-03-20 12:55:17+00,8,True,False,True,
50,5214,"Стубб признал, что Европе придётся начать политический диалог с Россией","{russian_state,ru_state}",2,ru_state,2026-03-17 13:40:33+00,4,False,False,False,domestic_russia
53,5226,Путин одобрил идею договора с Белоруссией о взыскании долгов в бюджеты,"{russian_state,ru_state}",2,russian_state,2026-03-20 13:01:51+00,3,True,True,False,
56,5211,"Подполье: в Днепропетровской области под удар ""Гераней"" могли попасть офицеры ВСУ","{ru_proxy,russian_state}",2,russian_state,2026-03-20 17:00:18+00,2,True,False,True,
57,5142,Над Смоленской областью уничтожили четыре БПЛА,"{russian_state,ru_state}",2,russian_state,2026-03-09 01:43:55+00,12,True,False,True,
60,5186,"Лукашенко заявил, что участники атаки на Иран не добились своих целей","{russian_state,ru_state}",2,russian_state,2026-03-13 08:50:07+00,5,True,False,True,
61,5243,Брянский губернатор сообщил о еще одном пострадавшем из-за атак БПЛА,"{russian_state,ru_state}",2,russian_state,2026-03-17 05:28:00+00,15,True,False,True,
67,5241,Экипаж российского газовоза Arctic Metagaz дрейфовал на спасательной шлюпке в течение 15 часов после атаки в…,"{ru_proxy,unverified_commentator}",2,ru_proxy,2026-03-20 14:09:40+00,2,True,False,True,
69,5253,Коул: Лукашенко пообещал принять участие в заседании Совета мира,"{russian_state,ru_state}",2,russian_state,2026-03-19 12:18:26+00,6,False,False,False,other
71,5236,Лукашенко пообещал жесткий ответ на попытки повторить протесты 2020 года,"{estonian_media,russian_state}",2,russian_state,2026-03-13 10:50:20+00,9,False,False,False,other
77,5261,Россиянам рассказали о причинах укрепления доллара и евро,"{russian_state,ru_state}",2,ru_state,2026-03-17 15:10:23+00,2,False,False,False,domestic_russia
80,5279,Политик Мема призвал ЕС наладить дипломатические отношения с Россией,"{russian_state,unverified_media}",2,russian_state,2026-03-18 18:13:08+00,2,False,False,False,other
82,5296,Командира ВСУ будут заочно судить за приказ об ударе по порту Кавказ,"{russian_state,ru_state}",2,ru_state,2026-03-20 10:11:07+00,2,True,False,True,
87,5229,"Лукашенко анонсировал ""большой договор"" с США","{ru_proxy,russian_state,ru_state,unverified_anonymous}",4,russian_state,2026-03-20 11:06:03+00,15,False,False,False,other
106,5286,"🇺🇦😂🇺🇸 Отправленные на Ближний Восток ВСУшники оказались в шоке от того, как военные США сбивают иранские дроны, —…","{ru_proxy,unverified_commentator}",2,ru_proxy,2026-03-20 11:11:30+00,4,True,False,True,
114,5207,Visa запретила расчеты в ЕС карточками трех белорусских банков,"{russian_independent,russian_state}",2,russian_state,2026-03-20 08:45:00+00,6,True,True,False,
130,5322,В Исфахане оценили ущерб объектам культурного наследия от ударов США и Израиля,"{russian_independent,russian_state}",2,russian_state,2026-03-20 08:33:05+00,2,True,False,True,
133,5333,"«Оттава» обыграла «Ванкувер» в матче НХЛ, у Зуба два ассиста","{russian_state,ru_state}",2,russian_state,2026-03-10 03:30:25+00,12,False,False,False,sports_culture
134,5318,РИА Новости: спецслужбы взломали смартфон подполковника ВСУ Мурзановского,"{russian_state,ru_state}",2,russian_state,2026-03-13 03:20:09+00,15,False,False,False,ukraine_frontline
136,5313,Тысячи мусульман посетили праздничную молитву в Московской соборной мечети,"{ru_proxy,ru_state}",2,ru_state,2026-03-20 07:00:15+00,3,False,False,False,domestic_russia
167,5375,Польские военные самолёты подняли в воздух из-за якобы активности России,"{russian_state,ru_state}",2,russian_state,2026-03-14 02:02:43+00,15,True,False,True,
173,5419,Таможня РФ задержала на границе с Эстонией экстремистские книги на финском языке,"{estonian_media,russian_state}",2,russian_state,2026-03-19 10:35:07+00,2,True,True,True,
184,5237,США снимают санкции с двух белорусских банков и Минфина,"{baltic_media,russian_state,ukraine_media}",3,russian_state,2026-03-19 15:12:24+00,12,True,True,True,
189,5411,Израильский «12 канал»: ЦАХАЛ атаковал корабли ВМС Ирана в Каспийском море,"{defense_osint,ru_state}",2,ru_state,2026-03-18 21:11:43+00,5,True,False,True,
202,5466,"Пентагон потратил не менее $11,3 млрд за первые шесть дней войны с Ираном","{ru_proxy,russian_language_ee,russian_state,unverified_commentator}",4,russian_state,2026-03-12 02:34:30+00,5,True,False,True,
207,5436,Словения призвала ЕС проверить данные о вмешательстве израильской компании в выборы,"{baltic_media,russian_state}",2,russian_state,2026-03-19 09:17:17+00,2,True,False,True,
209,5463,В Белоруссии с 19 по 25 марта пройдут учения с войсками ЗОК  вдали от границы,"{ru_proxy,russian_state}",2,russian_state,2026-03-19 07:28:39+00,2,True,True,True,
217,5482,Губернатор Смоленской области рассказал об ограничении интернета в регионе,"{russian_state,ru_state}",2,russian_state,2026-03-15 12:23:53+00,4,False,False,False,domestic_russia
239,5479,"Лукашенко назвал себя сторонником Трампа, несмотря на определенные ошибки США","{russian_state,ukraine_media}",2,russian_state,2026-03-19 08:46:13+00,8,False,False,False,other
243,5526,В Сенате заявили об утрате контроля США над операцией против Ирана,"{russian_independent,russian_state}",2,russian_state,2026-03-14 17:55:08+00,4,False,False,False,middle_east_iran
256,5544,"Орбан считает, что причиной СВО стало игнорирование Европой интересов России","{russian_state,ukraine_media}",2,russian_state,2026-03-18 11:21:06+00,2,False,False,False,domestic_russia
