id,cluster_id,first_signal_id,first_source,first_category,first_title,first_published,signal_count,category_count,categories,is_state_origin,created_at
68,5235,1666497,rss:telegram,"",Латвия в сотрудничестве с союзниками подала заявку в ЕК на финансирование двух новых оборонных проек…,2026-03-19 14:48:01+00,2,1,{estonian_media},f,2026-03-22 19:43:03.021284+00
69,5253,1646869,rss:rss,russian_state,Коул: Лукашенко пообещал принять участие в заседании Совета мира,2026-03-19 12:18:26+00,6,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
70,5262,2037762,rss:rss,estonian_media,Испания вдвое снизит НДС на топливо,2026-03-20 12:34:00+00,2,1,{estonian_media},f,2026-03-22 19:43:03.021284+00
71,5236,66922,rss:rss,russian_state,Лукашенко пообещал жесткий ответ на попытки повторить протесты 2020 года,2026-03-13 10:50:20+00,9,2,"{estonian_media,russian_state}",t,2026-03-22 19:43:03.021284+00
72,5258,2040040,dva_majors,ru_proxy,"🇫🇷Le Monde: Французский военный раскрыл местоположение авианосца «Шарль де Голль» через фитнес-приложение.

Офицер…",2026-03-20 10:33:42+00,2,1,{ru_proxy},t,2026-03-22 19:43:03.021284+00
73,5265,302662,rss:telegram,"",На этой неделе фермеры на сотнях тракторов въедут в города Эстонии19 марта на окружных дорогах город…,2026-03-16 05:50:56+00,11,2,"{estonian_media,russian_language_ee}",f,2026-03-22 19:43:03.021284+00
74,5254,1983457,rss:rss,estonian_media,Arakas ja Lõhmus: kuidas ühildada suuremad kaitsekulud korras riigirahandusega?,2026-03-20 08:24:00+00,3,1,{estonian_media},f,2026-03-22 19:43:03.021284+00
75,5267,2039658,sternenko,unverified_commentator,"🥳 Сьогодні Сергію Стерненку — 31 рік. 
І хоча свято у нього — подарунки даруємо ми. І не аби-які, а…",2026-03-20 07:22:43+00,4,1,{unverified_commentator},f,2026-03-22 19:43:03.021284+00
76,5256,1173754,rss:rss,russian_state,Арест руководителя челябинского управления Роспотребнадзора признали законным,2026-03-18 09:37:58+00,2,1,{russian_state},t,2026-03-22 19:43:03.021284+00
77,5261,870028,rss:rss,ru_state,Россиянам рассказали о причинах укрепления доллара и евро,2026-03-17 15:10:23+00,2,2,"{russian_state,ru_state}",t,2026-03-22 19:43:03.021284+00
