cluster_id,signal_id,source_type,title,published_at,region,source_category,channel,feed_handle
5914,53230,rss,Польша может инициировать закон о платной эвакуации из небезопасных стран,2026-03-10 11:39:09+00,global,russian_state,,
5914,374316,rss,МИД Польши: в НАТО пока не обсуждали отправку кораблей в Ормузский пролив,2026-03-16 09:52:28+00,global,RU_STATE,,tass_ru
5914,466308,rss,"МИД Польши предложил Венгрии и Украине посредничество в ситуации вокруг ""Дружбы""",2026-03-16 15:44:16+00,global,russian_state,,tass_ru
5914,2047831,rss,Poland willing to discuss Trump call for action on Strait of Hormuz but has no plans to send forces,2026-03-16 17:57:57+00,poland,,,notesfrompoland
5914,735473,rss,Польша призвала ЕС использовать военно-морские миссии в Ормузском проливе,2026-03-17 06:34:00+00,global,russian_state,,interfax
5928,68706,rss,Стубб: Финляндия не собирается становиться ядерной державой,2026-03-13 13:23:00+00,global,estonian_media,,
5928,68964,rss,Стубб: Финляндия не собирается становиться ядерной державой,2026-03-13 14:30:16+00,global,russian_state,,
5928,77062,rss,Экс-генсек НАТО: альянс может не пережить действующее президентство Трампа,2026-03-14 11:37:44+00,global,russian_state,,
5928,635996,rss,Стубб призвал прислушаться к угрозе Трампа о плохом будущем НАТО,2026-03-17 00:06:21+00,global,russian_state,,rt_russian
5928,635595,rss,"Стубб призвал серьезно относиться к словам Трампа о ""плохом будущем"" НАТО",2026-03-17 00:17:04+00,global,russian_state,,tass_ru
5928,2233234,rss,Стубб заявил о превращении США из «доброжелательного гегемона» в непредсказуемого игрока,2026-03-22 09:54:50+00,global,,,kommersant
5928,2249907,rss,Президент Финляндии высказался о гегемонии США,2026-03-22 11:24:15+00,global,,,ria_ru
5996,374067,rss,Tusk warns Polexit is real threat to Poland,2026-03-15 20:24:00+00,global,T2,,ukrinform
5996,340804,rss,Туск: выход Польши из Европейского союза стал реальной угрозой,2026-03-16 06:30:11+00,global,T2,,postimees_rus
5996,341174,rss,Премьер Польши заявил о реальности выхода страны из ЕС,2026-03-16 06:31:00+00,global,RU_STATE,,interfax
5996,341267,rss,Польский премьер Туск предупредил об угрозе выхода Польши из Евросоюза,2026-03-16 08:01:01+00,global,RU_STATE,,kommersant
5996,441410,rss,Polish PM warns: Poland’s exit from EU is a real threat,2026-03-16 12:29:21+00,global,T2,,bnn
5996,2280002,rss,Tusk and Sikorski criticize Polish President Karol Nawrocki over his support for Hungarian PM Viktor Orbán ahead of elections,2026-03-22 14:41:00+00,global,,,ukrinform
6015,62606,rss,Reuters: Швеция перехватила танкер Sea Owl I под коморским флагом,2026-03-13 02:33:47+00,global,russian_state,,
6015,373683,rss,Sweden seizes second shadow fleet ship in March,2026-03-16 09:52:59+00,global,T2,,bnn
6015,2093966,telegram_channel,"Франки и бритты задержали ещё одно судно российского теневого флота

ВМС Франции совместно с британскими коллегами…",2026-03-20 17:03:01+00,global,,montyan,
6100,48707,milwatch,Russia downs 235 Ukrainian UAVs over Bryansk Region in 24 hours,2026-03-09 05:38:51+00,global,data_source,,
6100,81352,rss,Над Брянской областью уничтожено 128 БПЛА,2026-03-14 17:05:00+00,global,russian_state,,
6100,80508,ru_legislation,[TASS] Russia downs 280 Ukrainian drones during 10 hours on Saturday,2026-03-14 17:17:50+00,global,government,,
6100,82205,milwatch,Russia downs 280 Ukrainian drones during 10 hours on Saturday,2026-03-14 17:17:50+00,global,data_source,,
6100,2300274,telegram_channel,Russia’s Defense Ministry claims it shot down 60 Ukrainian drones over Russian regions in two hours.,2026-03-22 17:41:28+00,global,,wartranslated,
6402,2268666,telegram_channel,"Концерты Дитера Болена отменили в Латвии из-за его поддержки России.
Примечательно, что Томас Андерс топил за…",2026-03-22 14:10:20+00,global,,colonel_cassad,
6402,2279334,rss,LRT: в Литве отменили концерты Дитера Болена,2026-03-22 14:22:59+00,global,,,tass_ru
6402,2294523,rss,Литва отменила концерты экс‑участника Modern Talking Дитера Болена после его высказываний о России,2026-03-22 15:58:06+00,global,,,postimees_rus
6474,2039387,telegram_channel,"⛪️💔 На 98-му році життя помер Патріарх Філарет.

""Сьогодні глибокий сум у моєму серці, як і в серцях багатьох…",2026-03-20 10:47:22+00,global,,TCH_channel,
6474,2039663,telegram_channel,"У віці 97 років помер Почесний Патріарх Православної церкви України Філарет.

🕯",2026-03-20 10:48:26+00,global,,sternenko,
6474,2039673,telegram_channel,"🕯 Скончался патриарх Православной церкви Украины Филарет

Ему было 97 лет.

О смерти сообщил митрополит Епифаний.

❕…",2026-03-20 10:51:32+00,global,,gerashchenko,
6474,2039575,telegram_channel,Помер почесний патріарх ПЦУ Філарет. Йому було 97 років. Філарет очолював Українську православну церкві Київського…,2026-03-20 11:06:01+00,global,,lachentyt,
6474,2040016,telegram_channel,"❗️Основатель Киевского патриархата Филарет умер в возрасте 97 лет

О смерти патриарха Украинской православной церкви…",2026-03-20 11:15:40+00,global,,readovkanews,
6474,2039413,telegram_channel,Сьогодні Православна церква України повідомила про смерть почесного патріарха Київського і всієї Руси-України Філарета.…,2026-03-20 11:22:56+00,global,,suspilne_news,
6474,2040176,telegram_channel,"🕯 Умер патриарх Филарет — основатель независимой Украинской церкви

Патриарх Филарет Православной церкви Украины (в…",2026-03-20 11:25:14+00,global,,nexta_live,
6474,2040019,telegram_channel,❗️Основатель Киевского патриархата Филарет умер в возрасте 97 лет О смерти патриарха Украинской православной церкви…,2026-03-20 12:24:37+00,global,,readovkanews,
6474,2205855,telegram_channel,Прощання з Філаретом триває уже кілька днів поспіль. Спершу у Михайлівському соборі ПЦУ відбудеться заупокійна служба…,2026-03-22 06:04:41+00,global,,suspilne_news,
6474,2222394,telegram_channel,"⚡️🕯У ці хвилини в Києві відбувається церемонія прощання й поховання патріарха Філарета

Від Михайлівського…",2026-03-22 06:53:35+00,global,,TCH_channel,
6474,2238365,telegram_channel,🕯У Володимирському соборі в Києві вже підготувати місце для поховання Філарета — нині його можуть уже побачити віряни…,2026-03-22 09:26:35+00,global,,TCH_channel,
6474,2238386,telegram_channel,"«Патріарх Філарет — це Мойсей українського православʼя. Як Мойсей вивів ізраїльський народ з неволі, так патріарх…",2026-03-22 09:41:10+00,global,,suspilne_news,
6474,2238367,telegram_channel,"🚔✝️ Біля Михайлівського Золотоверхого монастиря в Києві, де від п'ятниці перебуває тіло патріарха Філарета, сьогодні…",2026-03-22 10:04:21+00,global,,TCH_channel,
6474,2253851,telegram_channel,"⚡️Колонна священників з сотнею вірян прибула до Володимирівського собору в Києві, де і буде поховано патріарха…",2026-03-22 11:10:58+00,global,,TCH_channel,
6474,2268512,telegram_channel,"У Києві попрощалися з почесним патріархом ПЦУ Філаретом. У Михайлівському соборі відбулася заупокійна служба, після…",2026-03-22 13:25:50+00,global,,suspilne_news,
