date,region,score,level,trend,components,computed_at
2026-03-10,poland,18.914665,YELLOW,STABLE,,2026-03-20 21:35:35.924809+00
2026-03-11,baltic,16.550354,YELLOW,RISING,"{""fimi"": 10, ""hybrid"": 17.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.407747+00
2026-03-11,finland,14.293781,GREEN,STABLE,,2026-03-20 21:35:34.736857+00
2026-03-11,poland,18.66492,YELLOW,STABLE,,2026-03-20 21:35:35.929356+00
2026-03-12,baltic,16.010408,YELLOW,RISING,"{""fimi"": 10, ""hybrid"": 9.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.414529+00
2026-03-12,finland,15.948876,YELLOW,STABLE,,2026-03-20 21:35:34.741337+00
2026-03-12,poland,14.710307,GREEN,STABLE,,2026-03-20 21:35:35.934125+00
2026-03-13,baltic,15.728704,YELLOW,STABLE,"{""fimi"": 4, ""hybrid"": 9.7, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.425515+00
2026-03-13,finland,20.06843,YELLOW,STABLE,,2026-03-20 21:35:34.750608+00
2026-03-13,poland,10.35842,GREEN,STABLE,,2026-03-20 21:35:35.938331+00
2026-03-14,baltic,20.63237,YELLOW,STABLE,"{""fimi"": 4, ""hybrid"": 11.8, ""economic"": 0, ""security"": 1.7}",2026-03-20 21:35:33.433485+00
2026-03-14,finland,16.54992,YELLOW,STABLE,,2026-03-20 21:35:34.757076+00
2026-03-14,poland,21.747734,YELLOW,STABLE,,2026-03-20 21:35:35.942806+00
2026-03-15,baltic,11.792618,GREEN,STABLE,"{""fimi"": 4, ""hybrid"": 9.0, ""economic"": 0, ""security"": 0.0}",2026-03-20 21:35:33.438173+00
2026-03-15,finland,18.725836,YELLOW,STABLE,,2026-03-20 21:35:34.762976+00
2026-03-15,poland,13.815059,GREEN,STABLE,,2026-03-20 21:35:35.95225+00
2026-03-16,baltic,13.453836,GREEN,FALLING,"{""fimi"": 6.699678747479116, ""hybrid"": 15.649507914608328, ""economic"": 1.1240593479133905, ""security"": 1.6799999999999997}",2026-03-20 21:35:33.452586+00
2026-03-16,finland,17.421429,YELLOW,STABLE,,2026-03-20 21:35:34.767524+00
2026-03-16,poland,16.062557,YELLOW,STABLE,,2026-03-20 21:35:35.957338+00
2026-03-17,baltic,20.86911,YELLOW,FALLING,"{""fimi"": 6.832498321714887, ""hybrid"": 18.421621362434497, ""economic"": 1.0970729140518036, ""security"": 2.4}",2026-03-20 21:35:33.462158+00
2026-03-17,finland,12.736492,GREEN,STABLE,,2026-03-20 21:35:34.773369+00
2026-03-17,poland,16.346294,YELLOW,STABLE,,2026-03-20 21:35:35.963188+00
2026-03-18,baltic,16.67409,YELLOW,FALLING,"{""fimi"": 7.58295996436757, ""hybrid"": 16.92865514454799, ""economic"": 1.0845082189101136, ""security"": 0}",2026-03-20 21:35:33.468834+00
2026-03-18,finland,14.647461,GREEN,STABLE,,2026-03-20 21:35:34.7783+00
2026-03-18,poland,15.118632,GREEN,STABLE,,2026-03-20 21:35:35.968287+00
2026-03-19,baltic,16.870056,YELLOW,FALLING,"{""fimi"": 8.03033624989541, ""hybrid"": 15.031285600992405, ""economic"": 1.0352941139849179, ""security"": 2.4}",2026-03-20 21:35:33.474011+00
2026-03-19,finland,19.110619,YELLOW,STABLE,,2026-03-20 21:35:34.811902+00
2026-03-19,poland,15.976717,YELLOW,STABLE,,2026-03-20 21:35:35.979901+00
2026-03-20,baltic,15.87153,YELLOW,FALLING,"{""fimi"": 8.018336069038856, ""hybrid"": 14.673176379546065, ""economic"": 1.0422349483695006, ""security"": 0}",2026-03-20 20:47:08.287401+00
2026-03-20,finland,15.86725,YELLOW,STABLE,,2026-03-20 20:47:09.318712+00
2026-03-20,poland,15.613775,YELLOW,STABLE,,2026-03-20 20:47:10.195062+00
2026-03-21,baltic,27.531584,YELLOW,STABLE,"{""fimi"": 19.415384615384617, ""hybrid"": 2.572245493009087, ""economic"": 3.5615883033561797, ""security"": 1.9823659898173334}",2026-03-21 22:15:01.724802+00
2026-03-21,finland,28.07753,YELLOW,STABLE,"{""fimi"": 19.415384615384617, ""hybrid"": 2.7121465042117823, ""economic"": 3.980534926398663, ""security"": 1.969464750187707}",2026-03-21 22:15:02.895557+00
2026-03-21,poland,27.931002,YELLOW,STABLE,"{""fimi"": 19.415384615384617, ""hybrid"": 2.988868282560813, ""economic"": 3.5615883033561797, ""security"": 1.9651598429412844}",2026-03-21 22:15:03.855093+00
2026-03-22,baltic,31.04621,YELLOW,STABLE,"{""fimi"": 22.85209710416777, ""hybrid"": 5.88037028874741, ""economic"": 1.6943013133625715, ""security"": 0.6194407107066485}",2026-03-22 22:15:06.854454+00
2026-03-22,estonia,30.939693,YELLOW,STABLE,"{""fimi"": 22.85209710416777, ""hybrid"": 5.773855137232259, ""economic"": 1.6943013133625715, ""security"": 0.6194407107066485}",2026-03-22 22:15:01.771217+00
2026-03-22,finland,32.078045,YELLOW,STABLE,"{""fimi"": 22.87378822115389, ""hybrid"": 6.676897815685778, ""economic"": 1.90969509623223, ""security"": 0.6176634267422773}",2026-03-22 22:15:05.242363+00
2026-03-22,latvia,30.81727,YELLOW,STABLE,"{""fimi"": 22.85209710416777, ""hybrid"": 5.651430894808016, ""economic"": 1.6943013133625715, ""security"": 0.6194407107066485}",2026-03-22 22:15:02.834338+00
2026-03-22,lithuania,31.381664,YELLOW,STABLE,"{""fimi"": 22.85209710416777, ""hybrid"": 6.215824834201955, ""economic"": 1.6943013133625715, ""security"": 0.6194407107066485}",2026-03-22 22:15:03.869241+00
2026-03-22,poland,31.420137,YELLOW,STABLE,"{""fimi"": 22.851389789503894, ""hybrid"": 6.257671212847242, ""economic"": 1.6943013133625715, ""security"": 0.616775301533537}",2026-03-22 22:15:06.847455+00
2026-03-23,baltic,19.303873,YELLOW,STABLE,"{""fimi"": 9.990458915711343, ""hybrid"": 8.660385226013743, ""economic"": 0.6530296898568853, ""security"": 0}",2026-03-23 22:15:07.664024+00
2026-03-23,estonia,17.042284,YELLOW,STABLE,"{""fimi"": 10.314120188233403, ""hybrid"": 6.075133978118895, ""economic"": 0.6530296898568853, ""security"": 0}",2026-03-23 22:15:01.961913+00
2026-03-23,finland,17.041378,YELLOW,STABLE,"{""fimi"": 10.016923932828831, ""hybrid"": 6.307177516627831, ""economic"": 0.7172756210851853, ""security"": 0}",2026-03-23 22:15:06.252336+00
2026-03-23,latvia,19.866335,YELLOW,STABLE,"{""fimi"": 9.828628279450314, ""hybrid"": 9.384677516627832, ""economic"": 0.6530296898568853, ""security"": 0}",2026-03-23 22:15:03.392106+00
2026-03-23,lithuania,21.003002,YELLOW,STABLE,"{""fimi"": 9.828628279450314, ""hybrid"": 10.521344183294499, ""economic"": 0.6530296898568853, ""security"": 0}",2026-03-23 22:15:04.834971+00
2026-03-23,poland,20.718626,YELLOW,STABLE,"{""fimi"": 9.830918724272598, ""hybrid"": 10.234677516627832, ""economic"": 0.6530296898568853, ""security"": 0}",2026-03-23 22:15:07.656191+00
2026-03-24,baltic,18.674488,YELLOW,STABLE,"{""fimi"": 9.547074213213959, ""hybrid"": 8.525190360140632, ""economic"": 0.6022238923898171, ""security"": 0}",2026-03-24 22:15:08.447049+00
2026-03-24,estonia,16.412899,YELLOW,STABLE,"{""fimi"": 9.870735485736018, ""hybrid"": 5.939939112245787, ""economic"": 0.6022238923898171, ""security"": 0}",2026-03-24 22:15:02.142957+00
2026-03-24,finland,16.393887,YELLOW,STABLE,"{""fimi"": 9.59393033895944, ""hybrid"": 6.171982650754723, ""economic"": 0.627974155374761, ""security"": 0}",2026-03-24 22:15:06.823226+00
2026-03-24,latvia,19.23695,YELLOW,STABLE,"{""fimi"": 9.385243576952929, ""hybrid"": 9.249482650754722, ""economic"": 0.6022238923898171, ""security"": 0}",2026-03-24 22:15:03.850334+00
2026-03-24,lithuania,20.373617,YELLOW,STABLE,"{""fimi"": 9.385243576952929, ""hybrid"": 10.38614931742139, ""economic"": 0.6022238923898171, ""security"": 0}",2026-03-24 22:15:05.368868+00
2026-03-24,poland,20.081324,YELLOW,STABLE,"{""fimi"": 9.379616852886311, ""hybrid"": 10.099482650754723, ""economic"": 0.6022238923898171, ""security"": 0}",2026-03-24 22:15:08.438187+00
2026-03-25,baltic,18.800201,YELLOW,STABLE,"{""fimi"": 6.641578637704399, ""hybrid"": 4.790202361395917, ""economic"": 0, ""security"": 7.368421052631579}",2026-03-25 07:12:38.069547+00
2026-03-25,estonia,19.012407,YELLOW,STABLE,"{""fimi"": 6.9141354987756065, ""hybrid"": 2.6245883263081975, ""economic"": 0, ""security"": 9.473684210526315}",2026-03-25 07:12:32.040262+00
2026-03-25,finland,12.525233,GREEN,STABLE,"{""fimi"": 6.564505013793908, ""hybrid"": 2.8028339403432847, ""economic"": 0, ""security"": 3.1578947368421053}",2026-03-25 07:12:36.578065+00
2026-03-25,latvia,18.215502,YELLOW,STABLE,"{""fimi"": 6.505300207168795, ""hybrid"": 5.394412887711706, ""economic"": 0, ""security"": 6.315789473684211}",2026-03-25 07:12:33.468044+00
2026-03-25,lithuania,19.172695,YELLOW,STABLE,"{""fimi"": 6.505300207168795, ""hybrid"": 6.351605870167847, ""economic"": 0, ""security"": 6.315789473684211}",2026-03-25 07:12:35.137535+00
2026-03-25,poland,15.773206,YELLOW,STABLE,"{""fimi"": 6.505108493704813, ""hybrid"": 6.110202361395917, ""economic"": 0, ""security"": 3.1578947368421053}",2026-03-25 07:12:38.062529+00
