site,week_of_year,ndvi_expected,ndvi_std,ndvi_mad,ndvi_robust_std,ndvi_n_years,bsi_expected,bsi_std,bsi_mad,bsi_robust_std,bsi_n_years,ndbi_expected,ndbi_std,ndbi_mad,ndbi_robust_std,ndbi_n_years,fuel_ratio_expected,fuel_ratio_std,fuel_ratio_mad,fuel_ratio_robust_std,fuel_ratio_n_years,metal_ratio_expected,metal_ratio_std,metal_ratio_mad,metal_ratio_robust_std,metal_ratio_n_years
Kronstadt,19,0.12875457698494747,6.0582779798746155e-05,7.082003572689288e-06,1.0499778496869138e-05,3,0.05073711210548114,0.01737933155543841,0.007948581436538676,0.011784566837812241,3,0.011655963939802963,0.02350783751154476,0.019542791574042435,0.02897414278767531,3,0.757970753092059,0.03268594323569307,0.01520494466061828,0.022542850953832662,3,1.1558234754085177,0.008757130914594173,0.0004057096370158053,0.000601505107839633,3
Kronstadt,20,0.14470556033361615,0.020623788626328864,0.007884418177730501,0.011689438390303241,3,0.01573880868495994,0.05120828794739235,0.02138186877303153,0.031700758642896544,3,-0.03106855803223385,0.06912548727607226,0.035211353341789674,0.05220435246453737,3,0.7030652284948383,0.11286430837273903,9.747645377788938e-05,0.0001445185903710988,3,1.1957985660047166,0.04949743410809944,0.000728833782820848,0.0010805689664101891,3
Kronstadt,21,0.18370158188427116,0.02568760572874233,0.019671142548277204,0.02916443594207578,3,-0.013723232829019844,0.03536658176711667,0.017271258702595375,0.025606368152467904,3,-0.07405818823814417,0.023943172753522778,0.015614802792873111,0.023150506620713673,3,0.5704458881720588,0.03243093889487402,0.01562530934965467,0.02316608364179801,3,1.281837222758502,0.08783761360000672,0.0009840967935148548,0.0014590219060651236,3
Kronstadt,22,0.19541115463528447,nan,nan,nan,1,-0.09366304250271185,nan,nan,nan,1,-0.11708645659829933,nan,nan,nan,1,0.5238393342735088,nan,nan,nan,1,1.3101127498247012,nan,nan,nan,1
Kronstadt,23,0.20896319236984795,0.0029546200064256077,0.0020892318423729878,0.0030974951295021915,2,-0.07039815618234938,0.005529525891719586,0.00390996525478151,0.005796914486739066,2,-0.14258181183511884,0.019190340907425912,0.013569620188922465,0.020118318892096445,2,0.47619004561764433,0.010891159055499217,0.00770121242312477,0.011417817538524784,2,1.349604567878826,0.03336410117879949,0.023591982191723204,0.03497747279744882,2
Kronstadt,24,0.21494752242982715,0.00021449860163128668,0.0001966568979315242,0.00029156351687327774,3,-0.119054972163206,0.04090218541669357,0.02559705049086529,0.03795018705775687,3,-0.1717137286217348,0.019847296586004058,0.011205498776014705,0.0166132724853194,3,0.46089590784339973,0.018041507911268885,0.00021850462023709216,0.0003239549499635128,3,1.4374591243786494,0.01838982613218129,0.00015549768158984456,0.00023054086272510354,3
Kronstadt,25,0.1795973655152172,0.04982592039558825,0.03523224619058156,0.05223532820215622,2,-0.05765722084623639,0.053919749310973486,0.038127020377668026,0.056527120411930615,2,-0.13881563698910215,0.013684575483452508,0.009676456122008445,0.01434631384648972,2,0.5094281941280083,0.09152488439413296,0.06471786640240623,0.09595070872820748,2,1.3270901331611868,0.15274296364054368,0.1080055853687587,0.16012908086772165,2
Kronstadt,26,0.161603265511013,0.08633772891303801,0.06104999358665503,0.09051272049157474,2,-0.1212789309657677,0.03338151805572021,0.023604297783500934,0.03499573189381848,2,-0.21993643266878954,0.07340079516468961,0.05190220000543677,0.07695020172806055,2,0.4808901876779139,0.02801423797634435,0.019809057642846795,0.029368908861284657,2,1.3064452666454627,0.1873095740844071,0.13244787001624825,0.19636721208608965,2
Kronstadt,27,0.16035232385965903,nan,nan,nan,1,-0.0518019884717419,nan,nan,nan,1,-0.12909422680021823,nan,nan,nan,1,0.5154818220706219,nan,nan,nan,1,1.282132155616161,nan,nan,nan,1
Kronstadt,28,0.22255823309700662,nan,nan,nan,1,-0.06642774414304073,nan,nan,nan,1,-0.15250013670235738,nan,nan,nan,1,0.42976798963488577,nan,nan,nan,1,1.43862556369927,nan,nan,nan,1
Kronstadt,29,0.22455315336844411,0.0028609363437257685,0.0020229874891915384,0.0029992812514753747,2,-0.11328208070954565,6.628819954098772e-05,4.6872835408079405e-05,6.949366577601852e-05,2,-0.1777831504007361,0.013860496274011,0.009800850905964054,0.014530741553182305,2,0.4297555485519985,0.000105435614515896,7.455423800276084e-05,0.00011053411326289321,2,1.4219302267401432,0.023432593211613652,0.016569345560717874,0.024565711728320318,2
Kronstadt,30,0.19169384133540146,0.017053323181692125,0.004321544915824593,0.006407122492201542,3,-0.11528774623612166,0.04844935611773272,0.01966375440840827,0.029153482285906102,3,-0.1561912041851482,0.023065276738943232,0.007781100995960855,0.011536260336611563,3,0.44534620750523773,0.01961092683014044,0.015564812849796772,0.023076391531108693,3,1.343251636234293,0.06346545171012806,0.06288934490631237,0.09323974275809872,3
Kronstadt,31,0.1894576065925473,0.00822325741381435,0.005814721080750679,0.008620905474320956,2,-0.09193215697670745,0.035831171980915906,0.025336464685567057,0.03756384254282172,2,-0.10931348483006795,0.049826648812878446,0.035232761259386985,0.05223609184316714,2,0.5109687636138798,0.09278216264828588,0.06560689638175615,0.09726878457559167,2,1.312250814600611,0.04443171928666479,0.03141797000737778,0.046580282332938296,2
Kronstadt,32,0.09361366755922242,0.13830414417161327,0.09779579820994966,0.14499205042607136,2,-0.17873974009089932,0.029031998801706656,0.020528723224086498,0.03043588505203064,2,-0.23644604152131282,0.06903104492051836,0.0488123199756917,0.07236914559596051,2,0.390391799761005,0.011374813478962255,0.008043207745706354,0.01192485980378424,2,1.1290470854160408,0.2596690104936371,0.1836137181840516,0.2722256985796749,2
Kronstadt,33,0.21672852261079287,0.002539649937788332,0.001795803692850123,0.0026624585550195923,2,-0.09575904092373133,0.04695278391737806,0.0332006319035647,0.049223256860225016,2,-0.15626413027818836,0.038709502667802737,0.027371751832762067,0.04058135926725304,2,0.4256543724736793,0.027298400175769448,0.019302883879830618,0.02861845564023687,2,1.3424136322097682,0.04449796977686762,0.03146481617825714,0.04664973646588403,2
Kronstadt,34,0.21284029278895158,0.030407647810195376,0.021501453966521422,0.03187805565076466,2,-0.09177348223207042,0.0329816991577964,0.023321583129532475,0.034576579147844844,2,-0.16593985584915788,0.00831108907792796,0.0058768274460483105,0.008712984371511225,2,0.4371601094675148,0.011016334647677383,0.007789724933192993,0.011549046185951931,2,1.391147747927762,0.06578843099648388,0.046519445681237004,0.06896973016700197,2
Kronstadt,35,0.18158487318506614,0.035703889223636744,0.025246462184766838,0.03743040483513531,2,-0.07907184949862522,0.040167540265616634,0.028402740105401218,0.042109902480267844,2,-0.10570487208944249,0.04436515658343209,0.03137090306854783,0.04651050088942901,2,0.5135089010869365,0.11833734987293187,0.08367714256279515,0.12405973156360009,2,1.2796019964289735,0.08830599926801444,0.06244177090186731,0.09257616953910847,2
Kronstadt,36,0.2072344899114325,0.00789270605211178,0.0038381412965935446,0.005690428286329589,3,-0.1015517721452231,0.016446915292223408,0.0020544313440431367,0.0030458999106783543,3,-0.14461976117448141,0.005956963377504887,0.003684112103692877,0.0054620646049350595,3,0.4378110445295518,0.03144392102707157,0.00021597583860599734,0.00032020577831725163,3,1.3458686428112858,0.034184803605702675,0.0012887593213066761,0.001910714569769278,3
Kronstadt,37,0.19509426008869046,0.061350190428443814,0.027513319798057212,0.04079124793259962,3,-0.05860375337414313,0.026608605786702287,0.011713779063186519,0.017366848839080334,3,-0.054770616312709124,0.06651999240628068,0.02357507290004148,0.034952403081601496,3,0.5464537474429206,0.07835132000167855,0.03143769186603673,0.046609521960586056,3,1.3116007573096984,0.1273852078914258,0.09462212620920774,0.14028676431777137,3
Kronstadt,38,0.173733798686582,0.03619165596391497,0.02559136535445483,0.03794175827451473,2,-0.055646138374083935,0.031771503920237976,0.02246584587049525,0.03330786308759626,2,-0.10107052344883848,0.02122715933145729,0.015009868308600752,0.022253630754331472,2,0.49233651344309326,0.03313802275282996,0.023432120603640166,0.03474046200695691,2,1.2771490886373322,0.04931727212282748,0.03487257754767359,0.05170208347218086,2
Kronstadt,39,0.20695324361001016,0.02754597039117523,0.01947794245796386,0.028877997488177216,2,-0.03471834235624875,0.10974733164258049,0.07760308242159762,0.11505432999826062,2,-0.09381721209309014,0.06612110921543521,0.046754684705810554,0.06931849554483473,2,0.46078721959118674,0.021848471458536894,0.015449202326892175,0.022904987369850336,2,1.311011575787739,0.043177582484292244,0.03053116136988454,0.04526549984699082,2
Kronstadt,40,0.2423479894092267,nan,nan,nan,1,-0.040048583850303424,nan,nan,nan,1,-0.11128701973892727,nan,nan,nan,1,0.42951298367753676,nan,nan,nan,1,1.4044001031540692,nan,nan,nan,1
